0;[0, 4[;[0, 32[;[0, 76[
7;[4, 8[;[0, 32[;[0, 76[
8;[8, 12[;[0, 32[;[0, 76[
9;[8, 12[;[0, 32[;[0, 76[
10;[8, 12[;[0, 32[;[0, 76[
12;[12, 16[;[0, 32[;[0, 76[
13;[12, 16[;[0, 32[;[0, 76[
15;[12, 16[;[0, 32[;[0, 76[
16;[16, 20[;[0, 32[;[0, 76[
17;[16, 20[;[0, 32[;[0, 76[
18;[16, 20[;[0, 32[;[0, 76[
19;[16, 20[;[0, 32[;[0, 76[
20;[20, 24[;[0, 32[;[0, 76[
21;[20, 24[;[0, 32[;[0, 76[
22;[20, 24[;[0, 32[;[0, 76[
23;[20, 24[;[0, 32[;[0, 76[
24;[24, 28[;[0, 32[;[0, 76[
25;[24, 28[;[0, 32[;[0, 76[
26;[24, 28[;[0, 32[;[0, 76[
27;[24, 28[;[0, 32[;[0, 76[
28;[28, 32[;[0, 32[;[0, 76[
29;[28, 32[;[0, 32[;[0, 76[
30;[28, 32[;[0, 32[;[0, 76[
31;[28, 32[;[0, 32[;[0, 76[
32;[32, 36[;[32, 64[;[0, 76[
33;[32, 36[;[32, 64[;[0, 76[
34;[32, 36[;[32, 64[;[0, 76[
35;[32, 36[;[32, 64[;[0, 76[
36;[36, 40[;[32, 64[;[0, 76[
37;[36, 40[;[32, 64[;[0, 76[
38;[36, 40[;[32, 64[;[0, 76[
39;[36, 40[;[32, 64[;[0, 76[
40;[40, 44[;[32, 64[;[0, 76[
41;[40, 44[;[32, 64[;[0, 76[
42;[40, 44[;[32, 64[;[0, 76[
43;[40, 44[;[32, 64[;[0, 76[
44;[44, 48[;[32, 64[;[0, 76[
45;[44, 48[;[32, 64[;[0, 76[
46;[44, 48[;[32, 64[;[0, 76[
47;[44, 48[;[32, 64[;[0, 76[
48;[48, 52[;[32, 64[;[0, 76[
49;[48, 52[;[32, 64[;[0, 76[
50;[48, 52[;[32, 64[;[0, 76[
51;[48, 52[;[32, 64[;[0, 76[
52;[52, 56[;[32, 64[;[0, 76[
53;[52, 56[;[32, 64[;[0, 76[
55;[52, 56[;[32, 64[;[0, 76[
56;[56, 60[;[32, 64[;[0, 76[
57;[56, 60[;[32, 64[;[0, 76[
58;[56, 60[;[32, 64[;[0, 76[
60;[60, 64[;[32, 64[;[0, 76[
61;[60, 64[;[32, 64[;[0, 76[
62;[60, 64[;[32, 64[;[0, 76[
63;[60, 64[;[32, 64[;[0, 76[
64;[64, 68[;[64, 76[;[0, 76[
65;[64, 68[;[64, 76[;[0, 76[
67;[64, 68[;[64, 76[;[0, 76[
68;[68, 72[;[64, 76[;[0, 76[
70;[68, 72[;[64, 76[;[0, 76[
75;[72, 76[;[64, 76[;[0, 76[
